CARD_CODE	CARD_NAME	CUSTOMER_GROUP	ACCT_KIND	IS_EXCLUDED	OCRD_BALANCE	RECEIVABLE	CUSTOMER_ADVANCE	N_OPEN_INV	RAW_OPEN	CREDIT_APPLIED	ADJ_OPEN	UNBACKED_CREDIT	MIGRATED_OPEN	BACKDATED_DUE_OPEN	OLDEST_DUE	DAYS_OLDEST	B0_NOTDUE	B1_1_30	B2_31_60	B3_61_90	B4_91_180	B5_181_365	B6_365PLUS	ADJ_OVERDUE_60PLUS	N_UNAPPLIED_RCPT	UNAPPLIED_RCPT	N_OPEN_CN	OPEN_CN	CO_RAW_OPEN	CO_RECEIVABLE	CO_ADJ_OPEN	CO_UNBACKED_CREDIT	CO_UNAPPLIED_RCPT	CO_OPEN_CN	CO_CUSTOMER_ADVANCE	CO_MIGRATED_OPEN	CO_BACKDATED_DUE_OPEN	CO_ADJ_OPEN_TRADE	CO_ADJ_OVERDUE_60PLUS_TRADE
CUSTA000175	BLESSING ADVERTISING PVT LTD	PUNJAB	TRADE	0	31675134	31675134	0	10	31675134	0	31675134	0	0	0	2025-10-15	311	0	0	2192568	0	0	29482566	0	29482566	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000680	B S A ENGINEERING LLP	DELHI	TRADE	0	426205	426205	0	10	426205	0	426205	0	0	0	2026-03-19	156	0	0	0	0	426205	0	0	426205	1	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000931	GULATI TRADERS	DELHI	TRADE	0	256946.4	256946.4	0	2	231946.4	0	231946.4	25000	0	0	2025-03-31	509	0	0	0	0	0	0	231946.4	231946.4	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000235	SUPER MARCHE 37 TRADERS LLP	DELHI	TRADE	0	228468.94	228468.94	0	7	228468.94	0	228468.94	0	0	0	2024-10-15	676	0	0	0	0	0	0	228468.94	228468.94	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA001040	M/S MEDIA MIND	DELHI	TRADE	0	260421.64	260421.64	0	3	260421.64	0	260421.64	0	0	0	2026-01-19	215	0	0	39001	0	0	221420.64	0	221420.64	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000900	IDEA PUBLICITY	DELHI/NCR	TRADE	0	150663	150663	0	2	150663	0	150663	0	0	0	2025-04-19	490	0	0	0	0	0	0	150663	150663	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000966	M/S GURU ARJAN DEV TRADING COMPANY	PUNJAB	TRADE	0	117999	117999	0	2	117999	0	117999	0	0	0	2025-10-03	323	0	0	0	0	0	117999	0	117999	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000356	FREE SAMPLE	DELHI	TRADE	0	57809	57809	0	2	57809	0	57809	0	0	0	2026-05-11	103	0	0	0	0	57809	0	0	57809	1	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000603	RMMT HYPERMARKET LLP	DELHI	TRADE	0	56250	56250	0	2	56250	0	56250	0	0	0	2026-06-01	82	0	0	0	56250	0	0	0	56250	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000988	ADITYA AGENCY	DELHI	TRADE	0	48750	48750	0	1	48750	0	48750	0	0	0	2025-10-31	295	0	0	0	0	0	48750	0	48750	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000168	AVENUE SUPERMARTS LTD	PAN INDIA	TRADE	0	45664.5	45664.5	0	13	46414.5	750	45664.5	0	0	0	2025-09-12	344	0	0	0	0	0	45664.5	0	45664.5	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA001131	NEELAKSHI TRADERS	DELHI	TRADE	0	42500	42500	0	1	42500	0	42500	0	0	0	2026-03-31	144	0	0	0	0	42500	0	0	42500	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000951	RMNIT HYPERMARKET	HARYANA	TRADE	0	39080	39080	0	1	39080	0	39080	0	0	0	2025-08-13	374	0	0	0	0	0	0	39080	39080	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000501	RMKB HYPERMARKET LLP	DELHI	TRADE	0	60029	60029	0	2	60029	0	60029	0	0	0	2026-06-01	82	0	22529	0	37500	0	0	0	37500	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000634	RM SUPER BAZAAR PVT LTD ASHOK VIHAR	DELHI	TRADE	0	37500	37500	0	1	37500	0	37500	0	0	0	2026-05-02	112	0	0	0	0	37500	0	0	37500	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA001164	RMAV HYPERMARKET LLP	DELHI	TRADE	0	37500	37500	0	1	37500	0	37500	0	0	0	2026-05-08	106	0	0	0	0	37500	0	0	37500	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA001058	ANUBHAV GULATI	DELHI	TRADE	0	34971	34971	0	2	34499	0	34499	472	0	0	2025-09-27	329	0	0	0	0	0	34499	0	34499	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA001012	VISHAL KUMAR	DELHI	TRADE	0	33000	33000	0	1	33000	0	33000	0	0	0	2026-03-25	150	0	0	0	0	33000	0	0	33000	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000571	SHIVANYA ENTERPRISES FXMPS8533L	UTTAR PRADESH	TRADE	0	32500	32500	0	2	32500	0	32500	0	0	0	2026-03-25	150	0	0	0	0	32500	0	0	32500	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000998	GOYAL KIRYANA STORES	DELHI	TRADE	0	31349	31349	0	2	31349	0	31349	0	0	0	2025-07-30	388	0	0	0	0	30000	0	1349	31349	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA001120	DINESH COLD DRINKS	UTTAR PRADESH	TRADE	0	29400	29400	0	1	29400	0	29400	0	0	0	2026-03-20	155	0	0	0	0	29400	0	0	29400	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000037	SEVEN STAR	DELHI	TRADE	0	28702	28702	0	1	28702	0	28702	0	0	0	2025-11-15	280	0	0	0	0	0	28702	0	28702	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA001162	BHASIN ARJUN	DELHI	TRADE	0	28500	28500	0	1	28500	0	28500	0	0	0	2026-05-08	106	0	0	0	0	28500	0	0	28500	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000486	WAL MART INDIA PVT LTD	PAN INDIA	TRADE	0	25617.3	25617.3	0	23	39097.35	13480.05	25617.3	0	0	0	2025-06-07	441	0	0	0	0	0	19400.41	6216.89	25617.3	4	0	1	13480.05	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000508	DHINGRA TRADERS	DELHI	TRADE	0	25011	25011	0	1	25011	0	25011	0	0	0	2026-05-26	88	0	0	0	25011	0	0	0	25011	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA001128	SHIVAM TRADERS	DELHI	TRADE	0	25000	25000	0	1	25000	0	25000	0	0	0	2026-03-28	147	0	0	0	0	25000	0	0	25000	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000992	INDIAN NAVAL CANTEEN SERVICE	KARNATAKA	TRADE	0	21840	21840	0	1	21840	0	21840	0	0	0	2025-04-25	484	0	0	0	0	0	0	21840	21840	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA001134	MAHAVIR ICE DEPOT	DELHI	TRADE	0	21700	21700	0	1	21700	0	21700	0	0	0	2026-03-31	144	0	0	0	0	21700	0	0	21700	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000907	RMSP ROHINI HYPERMARKET LLP	DELHI	TRADE	0	119669	119669	0	5	119669	0	119669	0	0	0	2025-03-15	525	0	37499	60749	0	0	1	21420	21421	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000429	THUKRAL AND TAGRA STUDIO LLP	HARYANA	TRADE	0	21000	21000	0	1	21000	0	21000	0	0	0	2026-01-30	204	0	0	0	0	0	21000	0	21000	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA001140	VD ENTERPRISES	DELHI	TRADE	0	21000	21000	0	1	21000	0	21000	0	0	0	2026-04-09	135	0	0	0	0	21000	0	0	21000	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA001132	SAI WATER SUPPLIERS	DELHI	TRADE	0	20250	20250	0	1	20250	0	20250	0	0	0	2026-03-31	144	0	0	0	0	20250	0	0	20250	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000166	AKHAND KIRTANI JATHA DEV NAGAR	DELHI	TRADE	0	20000	20000	0	2	20000	0	20000	0	0	0	2026-06-17	66	0	0	0	20000	0	0	0	20000	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA001111	K.S. AGENCIES	DELHI	TRADE	0	19401	19401	0	1	19401	0	19401	0	0	0	2026-03-10	165	0	0	0	0	19401	0	0	19401	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA001028	RS IMPEX FOODS	DELHI	TRADE	0	16650	16650	0	1	16650	0	16650	0	0	0	2026-04-17	127	0	0	0	0	16650	0	0	16650	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA001136	BHAVYA TRADERS	DELHI	TRADE	0	15250	15250	0	1	15250	0	15250	0	0	0	2026-04-06	138	0	0	0	0	15250	0	0	15250	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000104	RAJ MANDIR HYPERMARKET	DELHI	TRADE	0	15199	15199	0	1	15199	0	15199	0	0	0	2025-03-20	520	0	0	0	0	0	0	15199	15199	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA001152	KAMAL MAHAJAN	DELHI	TRADE	0	15000	15000	0	1	15000	0	15000	0	0	0	2026-05-07	107	0	0	0	0	15000	0	0	15000	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000968	PMIP HYPERMARKET	DELHI	TRADE	0	13039	13039	0	1	13039	0	13039	0	0	0	2025-03-25	515	0	0	0	0	0	0	13039	13039	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000795	CHAWLA ENTERPRISES (AVSPC4099A)	DELHI	TRADE	0	11600	11600	0	1	11600	0	11600	0	0	0	2025-04-17	492	0	0	0	0	0	0	11600	11600	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA001118	DIVYA WATER SUPPLIER	DELHI	TRADE	0	11608	11608	0	1	11372	0	11372	236	0	0	2026-06-02	81	0	0	0	11372	0	0	0	11372	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000311	DIVYANSHI ENTERPRISES C O CHANDAN KUMAR	HARYANA	TRADE	0	65749	65749	0	3	65749	0	65749	0	0	0	2026-05-15	99	0	0	55749	0	10000	0	0	10000	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000902	NAVNEET SINGH ASM GT DL  ((JWPL0174))	DELHI	TRADE	0	9972	9972	0	1	9972	0	9972	0	0	0	2026-04-24	120	0	0	0	0	9972	0	0	9972	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA000929	SAI RAM TRADING	DELHI	TRADE	0	9678	9678	0	1	9678	0	9678	0	0	0	2026-02-26	177	0	0	0	0	9678	0	0	9678	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA001069	MSG TRADERS	DELHI	TRADE	0	8450	8450	0	1	8450	0	8450	0	0	0	2025-11-25	270	0	0	0	0	0	8450	0	8450	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA001023	PRIYANSHU TRADING COMPANY	DELHI	TRADE	0	8000	8000	0	1	8000	0	8000	0	0	0	2025-10-13	313	0	0	0	0	0	8000	0	8000	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
CUSTA001076	RAJAN MITTAL	DELHI	TRADE	0	7700	7700	0	1	7700	0	7700	0	0	0	2026-02-18	185	0	0	0	0	0	7700	0	7700	0	0	0	0	63506376.02	48258257.06	48116394.06	141863	15382489.75	622143.05	3209587.58	0	60	38424760.06	31985098.06
